GameID,Event,Site,Date,UTC_Time,TimeControl,Result,Termination,Variant,White,Black,WhiteElo,BlackElo,ECO,Opening,TotalMoves,NumCaptures,NumChecks,Promotions,WhiteCastled,BlackCastled,FinalMaterial
1,Let's Play!,Chess.com,2024.12.21,19:54:33,1/259200,1-0,speechan won on time,,speechan,alekscottz,792,1230,B21,,67,17,1,0,True,True,KPPPPPR vs KPPPPPPR
2,Live Chess,Chess.com,2025.01.25,19:17:44,300+2,0-1,alekscottz won by checkmate,,RyanM-98,alekscottz,1561,1323,B22,,136,26,13,2,True,True,K vs KPPQQ
3,Let's Play!,Chess.com,2025.01.10,04:54:03,1/259200,1-0,lord_krondor won on time,,lord_krondor,alekscottz,1125,1230,A34,,19,4,0,0,True,True,KBBNPPPPPPPQRR vs KBNNPPPPPPPQRR
4,Live Chess,Chess.com,2025.01.25,00:19:51,600,0-1,alekscottz won by resignation,,lord_krondor,alekscottz,925,1389,A00,,74,21,3,0,True,True,KPPP vs KPPPPPQ
5,Let's Play!,Chess.com,2025.01.10,04:54:09,1/259200,0-1,lord_krondor won on time,,alekscottz,lord_krondor,1265,1090,B07,,16,0,0,0,True,False,KBBNNPPPPPPPPQRR vs KBBNNPPPPPPPPQRR
6,Live Chess,Chess.com,2025.01.25,00:09:53,600,1-0,alekscottz won by checkmate,,alekscottz,lord_krondor,1389,925,B06,,51,9,4,0,False,True,KBBNPPPPPRR vs KNPPPPPPPQRR
7,Live Chess,Chess.com,2025.01.25,00:01:24,600,0-1,alekscottz won by resignation,,lord_krondor,alekscottz,925,1389,A34,,44,10,1,0,True,True,KBNPPPPPPPQR vs KBNPPPPPQR
8,Live Chess,Chess.com,2025.01.24,23:41:20,600,1-0,alekscottz won by resignation,,alekscottz,lord_krondor,1389,925,B23,,49,11,4,0,True,True,KNPPPPPPQRR vs KNPPPPPPRR
9,Live Chess,Chess.com,2025.01.24,23:39:53,600,1-0,lord_krondor won by resignation,,lord_krondor,alekscottz,925,1389,A30,,17,2,0,0,False,False,KBBNNPPPPPPPQRR vs KBBNNPPPPPPPQRR
10,Live Chess,Chess.com,2025.01.24,23:30:11,600,0-1,lord_krondor won by resignation,,alekscottz,lord_krondor,1389,925,B06,,48,14,2,0,True,True,KBPPPPPPQ vs KPPPPPPQR
11,Live Chess,Chess.com,2025.01.24,23:27:01,600,1/2-1/2,Game drawn by agreement,,lord_krondor,alekscottz,925,1389,A41,,27,6,0,0,True,True,KBNPPPPPPPQRR vs KBNPPPPPPPQRR
12,Live Chess,Chess.com,2025.01.24,23:05:37,600,1/2-1/2,Game drawn by insufficient material,,alekscottz,lord_krondor,1389,925,B06,,97,29,7,0,True,True,K vs KN
13,Let's Play!,Chess.com,2025.01.10,02:09:09,1/86400,1-0,liamplayingchezz won on time,,liamplayingchezz,alekscottz,746,1306,A43,,9,2,0,0,False,False,KBBNNPPPPPPPQRR vs KBBNNPPPPPPPQRR
14,Live Chess,Chess.com,2025.01.18,16:50:38,300+2,0-1,YakultProbioticDrink won by resignation,,alekscottz,YakultProbioticDrink,1303,1164,C25,,119,25,14,0,True,True,KR vs KNPPR
