Event,Date,UTC_Time,TimeControl,Result,White,Black,WhiteElo,BlackElo,ECO,Opening,TotalMoves,TimeCategory,TimeOfDay,GameLength,ResultClass,RatingDiff
Let's Play!,2024.12.21,19:54:33,1/259200,1-0,speechan,alekscottz,792,1230,B21,,67,Daily,Evening,Long,Loss,438
Live Chess,2025.01.25,19:17:44,300+2,0-1,RyanM-98,alekscottz,1561,1323,B22,,136,Blitz,Evening,Long,Win,-238
Let's Play!,2025.01.10,04:54:03,1/259200,1-0,lord_krondor,alekscottz,1125,1230,A34,,19,Daily,Night,Short,Loss,105
Live Chess,2025.01.25,00:19:51,600,0-1,lord_krondor,alekscottz,925,1389,A00,,74,Blitz,Night,Long,Win,464
Let's Play!,2025.01.10,04:54:09,1/259200,0-1,alekscottz,lord_krondor,1265,1090,B07,,16,Daily,Night,Short,Loss,175
Live Chess,2025.01.25,00:09:53,600,1-0,alekscottz,lord_krondor,1389,925,B06,,51,Blitz,Night,Medium,Win,464
Live Chess,2025.01.25,00:01:24,600,0-1,lord_krondor,alekscottz,925,1389,A34,,44,Blitz,Night,Medium,Win,464
Live Chess,2025.01.24,23:41:20,600,1-0,alekscottz,lord_krondor,1389,925,B23,,49,Blitz,Night,Medium,Win,464
Live Chess,2025.01.24,23:39:53,600,1-0,lord_krondor,alekscottz,925,1389,A30,,17,Blitz,Night,Short,Loss,464
Live Chess,2025.01.24,23:30:11,600,0-1,alekscottz,lord_krondor,1389,925,B06,,48,Blitz,Night,Medium,Loss,464
Live Chess,2025.01.24,23:27:01,600,1/2-1/2,lord_krondor,alekscottz,925,1389,A41,,27,Blitz,Night,Short,Draw,464
Live Chess,2025.01.24,23:05:37,600,1/2-1/2,alekscottz,lord_krondor,1389,925,B06,,97,Blitz,Night,Long,Draw,464
Let's Play!,2025.01.10,02:09:09,1/86400,1-0,liamplayingchezz,alekscottz,746,1306,A43,,9,Daily,Night,Short,Loss,560
Live Chess,2025.01.18,16:50:38,300+2,0-1,alekscottz,YakultProbioticDrink,1303,1164,C25,,119,Blitz,Afternoon,Long,Loss,139
Live Chess,2025.01.18,16:33:58,300+2,1/2-1/2,SomethingTDK,alekscottz,1405,1320,B20,,118,Blitz,Afternoon,Long,Draw,-85
Live Chess,2025.01.18,16:19:09,300+2,0-1,sheep451,alekscottz,1581,1317,B20,,136,Blitz,Afternoon,Long,Win,-264
Live Chess,2025.01.18,15:59:38,300+2,0-1,alekscottz,KillrKermit,1297,1770,B01,,116,Blitz,Afternoon,Long,Loss,-473
Live Chess,2025.01.11,19:35:35,300+2,1-0,liftingTheExponent,alekscottz,1472,1299,E91,,45,Blitz,Evening,Medium,Loss,-173
